"","virus","antigen","affinity","dcy","covi","n","cv","cv_se","cv_t","I","I_se","I_t","Pr_t_I","Pr_t_cv"
"1","WT","Spike","R2a","CoronaVac","Age",62,-0.0228641201341613,0.00911495142611619,-2.50841930639926,2.08209073510124,0.39249059357722,5.3048169030619,1.77753637935369e-06,0.0148960536248325
"2","WT","Spike","R2a","CoronaVac","Sex",62,0.141678273555626,0.23775550181416,0.595899032722986,1.16504777756477,0.219042904458624,5.31881085326295,1.687616291801e-06,0.553521952849677
"3","WT","Spike","R2a","CoronaVac","Immunosupressive.drugs",62,-0.00892817645495371,0.00233400346254681,-3.82526272913559,1.21991443925235,0.1976806306348,6.17113793766696,6.35023674831507e-08,0.000313606916111164
"4","WT","Spike","R2a","CoronaVac","Obesity",62,-0.478972932518746,0.29055923774527,-1.648451917191,1.2863751931833,0.199036918642094,6.46299793002949,2.17859531732317e-08,0.104575546574607
"5","WT","Spike","R2a","CoronaVac","Hypertension",62,-0.580838765744324,0.361602170665214,-1.60629225393143,1.27924754427238,0.198593284478282,6.44154482682055,2.36705340673699e-08,0.113549170820897
"6","WT","Spike","R2a","CoronaVac","Cardiovascular",62,-0.00892817645495371,0.00233400346254681,-3.82526272913559,1.21991443925235,0.1976806306348,6.17113793766696,6.35023674831507e-08,0.000313606916111164
"7","WT","Spike","R2a","CoronaVac","Chronic.pulmonary.disease",62,-0.00892817645495371,0.00233400346254681,-3.82526272913559,1.21991443925235,0.1976806306348,6.17113793766696,6.35023674831507e-08,0.000313606916111164
"8","WT","Spike","R2a","CoronaVac","Asthma",62,-0.296877979535589,0.346515958787237,-0.856751246247431,1.23294442813826,0.198703130399667,6.20495724278896,5.89421213786978e-08,0.395048928817277
"9","WT","Spike","R2a","CoronaVac","Rheumatologic.disease",62,-0.00892817645495371,0.00233400346254681,-3.82526272913559,1.21991443925235,0.1976806306348,6.17113793766696,6.35023674831507e-08,0.000313606916111164
"10","WT","Spike","R2a","CoronaVac","Immunocompromise",62,-0.00892817645495371,0.00233400346254681,-3.82526272913559,1.21991443925235,0.1976806306348,6.17113793766696,6.35023674831507e-08,0.000313606916111164
"11","WT","Spike","R2a","CoronaVac","Smoker",62,-0.187842160760401,0.309299209340227,-0.607315360298175,1.24326270130361,0.202413188353759,6.14220205419991,7.50116858252796e-08,0.545971994330311
"12","WT","Spike","R2a","CoronaVac","Allergic.disease",62,-0.264134762065247,0.218235913834814,-1.21031757525104,1.31605840331053,0.212337999414874,6.19794105123486,6.05537075816379e-08,0.230983650186217
"13","WT","Spike","R2a","CoronaVac","Neurological.disease",62,-0.00892817645495371,0.00233400346254681,-3.82526272913559,1.21991443925235,0.1976806306348,6.17113793766696,6.35023674831507e-08,0.000313606916111164
"14","WT","Spike","IgG4","CoronaVac","Age",64,0.000289690614861245,0.000445843036733823,0.649759199971976,-0.00074396541721449,0.0191140537323344,-0.0389224299372956,0.969079340393522,0.518287211850194
"15","WT","Spike","IgG4","CoronaVac","Sex",64,0.0125549648827163,0.011844921668473,1.05994494806438,0.00595993205005657,0.0106933547808157,0.5573491361896,0.579328428378355,0.293348617671207
