"","vaccine","variable","antigen","virus","affinity","model_type","n","hl","hl_se","hl_t","I","I_se","I_t","Pr_t_I","Pr_t_hl","naive_2.5","naive_50","naive_97.5","naive_50_raw","naive_97.5_raw","naive_se"
"1","CoronaVac","Alpha.RBD.C1q","RBD","Alpha","C1q","lm",56,-0.000614396232329497,0.000377824596636409,-1.62614143652682,0.131633635716753,0.0334724507414126,3.93259629340176,0.000241524218804353,0.109742025344982,0.851466365247144,1,1.26671045396225,2045.875,2591.53125,231.765509592738
"57","CoronaVac","Beta.RBD.C1q","RBD","Beta","C1q","lm",26,-0.0021294640550626,0.00107585938095768,-1.97931448361499,0.133990911360492,0.101149488763834,1.32468204237133,0.197752558889415,0.0593624110700052,0.518414504400735,1,2.22197290096807,28432.75,63176.8,15660.97599947
"83","CoronaVac","Delta.RBD.C1q","RBD","Delta","C1q","lm",56,-0.000548191889395635,0.000378675834702886,-1.44765479905987,0.109797359867941,0.0334394562451344,3.28346726283616,0.00180256848800992,0.1534947660998,0.866498316498316,1,1.22620650953985,2227.5,2731.375,235.96953540613
"139","CoronaVac","Gamma.RBD.C1q","RBD","Gamma","C1q","lm",52,-0.000568239438788166,0.000413554093704746,-1.37403896476444,0.0435342918780182,0.0374378921806028,1.16284035618261,0.250414258974331,0.175558161696425,0.588451139436076,1,1.37638406076992,3883.5,5345.1875,900.546016941407
"191","CoronaVac","Omicron.RBD.C1q","RBD","Omicron","C1q","lm",47,0.000580920975167592,0.000740387542642182,0.784617435747892,-0.248530299989161,0.067384180908401,-3.6882588263112,0.000606041392545495,0.436789056927275,0.594141218635692,0.999999999999998,1.40419786498306,545335.25,765758.59375,133732.532531671
"238","CoronaVac","WT.RBD.C1q","RBD","WT","C1q","lm",54,-0.000850856646529585,0.000801039945708537,-1.06219003320363,0.215578342006588,0.0691731993834468,3.11650095597828,0.00297831515021313,0.293057702001526,0.90235615440641,0.999999999999998,1.25051347414421,1716.25,2146.19375,170.562701249339
"292","CoronaVac","Alpha.RBD.IgA1","RBD","Alpha","IgA1","lm",59,-0.00156370286472284,0.00209265273972491,-0.747234758562187,0.628579363944658,0.17396153593943,3.61332383362905,0.000640273879220659,0.457993369994578,0.626335136634762,1,3.57146622277709,7209,25746.7,5945.89361295122
"351","CoronaVac","Beta.RBD.IgA1","RBD","Beta","IgA1","lm",58,-0.00081448847215774,0.00225544252972632,-0.361121359299973,0.553777135331493,0.187138000759804,2.95919125502618,0.00451372652385246,0.719367559341594,0.479853999374283,1,4.25848785066221,11986.25,51043.3,13132.2176931081
"409","CoronaVac","Delta.RBD.IgA1","RBD","Delta","IgA1","lm",59,-0.00168496863368961,0.00218467445045468,-0.771267606182209,0.670323798082353,0.181225787951385,3.69883230008177,0.000488965488008209,0.443733917097824,0.661927976096871,1,2.88964459820727,6359,18375.25,3943.04259543896
"468","CoronaVac","Gamma.RBD.IgA1","RBD","Gamma","IgA1","lm",61,-0.00182538213686181,0.00172741236072289,-1.05671475923556,0.544063340180424,0.146459947956196,3.7147585245841,0.000453620396415034,0.294949491788697,0.710141858987931,1,2.53545264813526,8265.25,20956.15,4023.09548109413
